item_type,date_uploaded,source_file,item_id,phys_format,dig_format,rights,image_url,title,date_created,contributor_names
Item,2023-12-11,data/ftu_travel_metadata/item_metadata-cph.3b48718.json,98507272,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/cph/3f00000/3f05000/3f05100/3f05191v.jpg#h=1024&w=711,Illinois: A descriptive and historical guide / galic.,1936-01-01,"[""Federal Writers' Project, sponsor""]"
Item,2023-12-11,data/ftu_travel_metadata/item_metadata-cph.3b48731.json,93505613,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b48000/3b48700/3b48731r.jpg#h=640&w=499,See America / Frank S. Nicholson.,1936-01-01,"['Nicholson, Frank S., artist']"
Item,2023-12-11,data/ftu_travel_metadata/item_metadata-cph.3b48733.json,98518589,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b48000/3b48700/3b48733v.jpg#h=1024&w=707,See America. Visit the national parks,1936-01-01,"['Herzog, Harry, artist', 'Federal Art Project, sponsor']"
Item,2023-12-11,data/ftu_travel_metadata/item_metadata-cph.3b48750.json,98518516,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b48000/3b48700/3b48750v.jpg#h=1024&w=719,See America. Welcome to Montana / Rothstein.,1936-01-01,"['Rothstein, Jerome Henry, 1918-, artist']"
Item,2023-12-11,data/ftu_travel_metadata/item_metadata-cph.3b48860.json,96525136,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/cph/3g00000/3g05000/3g05000/3g05062v.jpg#h=1024&w=813,"When attending the World's Fair, visit beautiful Sea Cliff 250 ft. altitude : No mosquitos.",1938-01-01,Not found
Item,2023-12-11,data/ftu_travel_metadata/item_metadata-cph.3b48864.json,98516742,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b48000/3b48800/3b48864r.jpg#h=498&w=640,"A guide to the golden state from the past to the present California history and culture, tours and trails, recreational facilities : American guide series / / B. Sheer.",1936-01-01,"['Sheer, Benjamin, artist', ""Federal Writers' Project of the Works Progress Administration of Northern California, sponsor""]"
Item,2023-12-11,data/ftu_travel_metadata/item_metadata-cph.3b49082.json,98518752,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b49000/3b49000/3b49082r.jpg#h=640&w=515,Visit Pennsylvania Where pre-revolutionary costumes still survive / / Katherine Milhous.,1936-01-01,"['Milhous, Katherine, 1894-1977, artist']"
Item,2023-12-11,data/ftu_travel_metadata/item_metadata-cph.3b51486.json,98518753,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/cph/3b50000/3b51000/3b51400/3b51486v.jpg#h=1024&w=739,Rural Pennsylvania / Katherine Milhous.,1936-01-01,"['Milhous, Katherine, 1894-1977, artist']"
Item,2023-12-11,data/ftu_travel_metadata/item_metadata-cph.3f05643.json,98518608,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/cph/3f00000/3f05000/3f05600/3f05643v.jpg#h=1024&w=692,Discover Puerto Rico U.S.A. Where the Americas meet / / Frank S. Nicholson.,1936-01-01,"['Nicholson, Frank S., artist', 'Federal Art Project, sponsor']"
Item,2023-12-11,data/ftu_travel_metadata/item_metadata-cph.3g02947.json,94504463,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,No known restrictions on publication. Published without copyright notice.,https://tile.loc.gov/storage-services/service/pnp/ds/14000/14053v.jpg#h=1024&w=685,"West Point, United States Military Academy, in the highlands of the Hudson. New York Central Lines / Frank Hazell.",1920-01-01,"['Hazell, Frank, 1883-, artist']"
Item,2023-12-11,data/ftu_travel_metadata/item_metadata-cph.3g04243.json,96503125,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/cph/3g00000/3g04000/3g04200/3g04243v.jpg#h=1024&w=829,See America / Dux.,1936-01-01,"['Dux, Alexander, artist']"
Item,2023-12-11,data/ftu_travel_metadata/item_metadata-cph.3g05158.json,97502889,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/cph/3g00000/3g05000/3g05100/3g05158v.jpg#h=1024&w=806,"Buckingham Fountain on Chicago's lake front, world's largest and most beautiful illuminated fountain ... / Buczak.",1939-01-01,"['Buczak, John, artist']"
Item,2023-12-11,data/ftu_travel_metadata/item_metadata-ds.06845.json,2011645088,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,No known restrictions on publication. Published without copyright notice,https://tile.loc.gov/storage-services/service/pnp/ds/06800/06845v.jpg#h=1024&w=677,Fly TWA New York / David.,1956-01-01,"['Klein, David, 1918-2005, artist', 'Trans World Airlines, sponsor']"
